epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,616.227,0.75826,0.59609,1.31643,0.9964,1,0.995,0.83472,0.43223,2.79833,0.82948,0.0011486,0.0011486,0.0011486
45,629.786,0.75458,0.62041,1.31743,0.99937,1,0.995,0.83265,0.43371,0.27416,0.79472,0.0011288,0.0011288,0.0011288
46,643.167,0.74208,0.598,1.29228,0.99925,1,0.995,0.78927,0.54762,0.32201,1.04122,0.001109,0.001109,0.001109
47,656.649,0.78299,0.61277,1.31668,0.99936,1,0.995,0.86226,0.35957,0.28343,0.72453,0.0010892,0.0010892,0.0010892
48,669.953,0.73675,0.56675,1.2904,0.99916,1,0.995,0.79457,0.49771,0.38587,0.89559,0.0010694,0.0010694,0.0010694
49,684.187,0.7211,0.5886,1.29271,0.99933,1,0.995,0.85298,0.37997,0.35069,0.76597,0.0010496,0.0010496,0.0010496
50,697.299,0.74995,0.57464,1.31398,0.99929,1,0.995,0.84729,0.4462,0.39217,0.83622,0.0010298,0.0010298,0.0010298
51,711.245,0.74986,0.58199,1.292,0.99889,1,0.995,0.85964,0.39084,0.37495,0.76071,0.00101,0.00101,0.00101
52,724.872,0.69222,0.52486,1.25637,0.99935,1,0.995,0.85771,0.37877,0.2836,0.75445,0.0009902,0.0009902,0.0009902
53,738.674,0.7036,0.54944,1.26392,0.99942,1,0.995,0.84125,0.46497,0.28485,0.86913,0.0009704,0.0009704,0.0009704
54,751.827,0.69516,0.55959,1.2741,0.99927,1,0.995,0.80775,0.41181,0.55626,0.78162,0.0009506,0.0009506,0.0009506
55,765.477,0.71197,0.56466,1.26997,0.99413,1,0.995,0.81729,0.56549,0.38648,0.9651,0.0009308,0.0009308,0.0009308
56,778.849,0.70186,0.5487,1.26399,0.99938,1,0.995,0.85955,0.39205,0.32145,0.78259,0.000911,0.000911,0.000911
57,792.304,0.69152,0.5552,1.25514,0.99938,1,0.995,0.83996,0.40812,0.26745,0.79544,0.0008912,0.0008912,0.0008912
58,806.058,0.68027,0.53351,1.26028,0.99939,1,0.995,0.84625,0.39483,0.23472,0.77087,0.0008714,0.0008714,0.0008714
59,819.739,0.67722,0.5561,1.24504,0.99877,1,0.995,0.84607,0.42684,0.47957,0.8128,0.0008516,0.0008516,0.0008516
60,833.58,0.69114,0.50694,1.27113,0.99911,1,0.995,0.86248,0.34305,0.27327,0.70288,0.0008318,0.0008318,0.0008318
61,846.765,0.6741,0.50354,1.25165,0.99914,1,0.995,0.86394,0.39464,0.36971,0.77156,0.000812,0.000812,0.000812
62,861.041,0.66734,0.5027,1.23863,0.99799,1,0.995,0.85882,0.39752,0.28882,0.78864,0.0007922,0.0007922,0.0007922
63,874.005,0.65441,0.49424,1.23411,0.99934,1,0.995,0.85016,0.45558,0.27014,0.83344,0.0007724,0.0007724,0.0007724
64,888.045,0.62946,0.49392,1.21567,0.99915,1,0.995,0.88029,0.36299,0.28638,0.71068,0.0007526,0.0007526,0.0007526
65,901.266,0.65305,0.52012,1.23432,0.999,1,0.995,0.8752,0.34304,0.36275,0.70932,0.0007328,0.0007328,0.0007328
66,915.242,0.65091,0.51311,1.24912,0.98193,1,0.99351,0.859,0.35503,2.27441,0.72777,0.000713,0.000713,0.000713
67,928.803,0.63786,0.53119,1.20103,0.99944,1,0.995,0.86076,0.40196,0.24433,0.78352,0.0006932,0.0006932,0.0006932
68,942.44,0.62063,0.47461,1.21884,0.9994,1,0.995,0.86162,0.38662,0.2439,0.75421,0.0006734,0.0006734,0.0006734
69,956.247,0.62553,0.48769,1.22064,0.99938,1,0.995,0.84335,0.44549,0.26353,0.84085,0.0006536,0.0006536,0.0006536
70,969.501,0.6447,0.49406,1.22231,0.99937,1,0.995,0.86679,0.36071,0.21742,0.71385,0.0006338,0.0006338,0.0006338
71,983.551,0.65479,0.48826,1.23589,0.99928,1,0.995,0.88665,0.35903,0.24479,0.7197,0.000614,0.000614,0.000614
72,996.685,0.62126,0.47002,1.21776,0.9879,1,0.9948,0.84627,0.37515,1.06176,0.71917,0.0005942,0.0005942,0.0005942
73,1010.79,0.61175,0.47367,1.20212,0.99942,1,0.995,0.87693,0.3639,0.2215,0.70553,0.0005744,0.0005744,0.0005744
74,1023.78,0.5857,0.47586,1.18329,0.99939,1,0.995,0.88029,0.37476,0.23266,0.72473,0.0005546,0.0005546,0.0005546
75,1037.8,0.57714,0.46992,1.1873,0.98624,1,0.995,0.87468,0.34572,1.01307,0.69642,0.0005348,0.0005348,0.0005348
76,1051.29,0.60644,0.45664,1.19912,0.9992,1,0.995,0.88756,0.31324,0.28808,0.66828,0.000515,0.000515,0.000515
77,1064.5,0.6076,0.46783,1.19326,0.99942,1,0.995,0.89936,0.30841,0.21493,0.63071,0.0004952,0.0004952,0.0004952
78,1078.39,0.55608,0.42271,1.16563,0.99911,1,0.995,0.88269,0.34811,0.24087,0.68433,0.0004754,0.0004754,0.0004754
79,1091.77,0.61047,0.49123,1.19914,0.99939,1,0.995,0.90914,0.2892,0.25616,0.6149,0.0004556,0.0004556,0.0004556
80,1106.02,0.59708,0.46713,1.18826,0.99948,1,0.995,0.90204,0.34704,0.23674,0.6882,0.0004358,0.0004358,0.0004358
81,1119.24,0.54826,0.4303,1.16009,0.99942,1,0.995,0.90277,0.3184,0.20764,0.64414,0.000416,0.000416,0.000416
82,1132.7,0.5778,0.46402,1.18451,0.99939,1,0.995,0.90091,0.3122,0.20774,0.64617,0.0003962,0.0003962,0.0003962
83,1146.15,0.59276,0.44621,1.19846,0.9994,1,0.995,0.91214,0.2835,0.21473,0.61513,0.0003764,0.0003764,0.0003764
84,1159.85,0.58015,0.44339,1.17685,0.99921,1,0.995,0.91669,0.26799,0.19199,0.59348,0.0003566,0.0003566,0.0003566
